_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),JmagUKIRT(mag),e_JmagUKIRT(mag),HmagUKIRT(mag),e_HmagUKIRT(mag),KmagUKIRT(mag),e_KmagUKIRT(mag)
295.90661611,-14.89383889,295.906616,-14.893839,19.059,0.143,18.236,0.093,18.39,0.131
295.90661611,-14.93176194,295.906616,-14.931762,14.251,0.005,13.892,0.003,13.834,0.004
295.90667694,-15.10083694,295.906677,-15.100837,15.495,0.008,14.896,0.006,14.707,0.008
295.90673806,-14.75161611,295.906738,-14.751616,17.091,0.029,16.505,0.022,16.314,0.023
295.90673806,-14.93101389,295.906738,-14.931014,14.981,0.007,14.551,0.005,14.468,0.006
295.90673806,-15.06648306,295.906738,-15.066483,18.867,0.102,18.218,0.097,17.91,0.095
295.90676889,-14.87775806,295.906769,-14.877758,18.223,0.071,17.597,0.053,17.533,0.063
295.90686,-15.09380194,295.90686,-15.093802,17.343,0.03,16.632,0.025,16.491,0.029
295.90689111,-15.12894389,295.906891,-15.128944,17.607,0.036,17.338,0.046,17.356,0.059
295.90692111,-14.73540611,295.906921,-14.735406,18.928,0.129,18.594,0.13,18.431,0.136
295.90692111,-14.85595611,295.906921,-14.855956,19.337,0.18,18.479,0.113,18.54,0.147
295.90695194,-15.03653306,295.906952,-15.036533,17.065,0.024,16.614,0.025,16.357,0.026
295.90698194,-14.64510806,295.906982,-14.645108,18.907,0.116,18.461,0.093,17.984,0.084
295.90701306,-14.586005,295.907013,-14.586005,19.715,0.226,19.152,0.166,18.742,0.16
295.90701306,-14.98722306,295.907013,-14.987223,14.123,0.004,13.742,0.003,13.662,0.004
295.90704306,-14.50459806,295.907043,-14.504598,18.067,0.056,17.709,0.048,17.706,0.066
295.90704306,-14.96839694,295.907043,-14.968397,16.061,0.012,15.513,0.01,15.237,0.011
295.90707389,-14.94085306,295.907074,-14.940853,15.802,0.01,15.505,0.01,15.458,0.013
295.90716611,-14.52418611,295.907166,-14.524186,19.096,0.134,18.86,0.128,18.619,0.144
295.90716611,-14.95315611,295.907166,-14.953156,18.619,0.084,18.166,0.098,17.983,0.103
295.90722694,-15.11467611,295.907227,-15.114676,17.256,0.028,16.877,0.031,16.825,0.038
295.90725694,-14.922215,295.907257,-14.922215,18.001,0.059,17.524,0.05,17.391,0.056
295.90728806,-14.544425,295.907288,-14.544425,14.996,0.006,14.515,0.004,14.434,0.006
295.90728806,-14.5791,295.907288,-14.5791,16.462,0.016,16.211,0.014,16.186,0.019
295.90731806,-14.79065,295.907318,-14.79065,16.28,0.016,15.761,0.012,15.447,0.012
295.90731806,-14.87284806,295.907318,-14.872848,18.874,0.122,18.167,0.087,17.9,0.085
295.90734889,-14.50593611,295.907349,-14.505936,18.397,0.074,17.854,0.054,17.567,0.059
295.90734889,-14.62761389,295.907349,-14.627614,15.275,0.008,14.833,0.005,14.764,0.007
295.90734889,-14.83432194,295.907349,-14.834322,19.258,0.168,18.848,0.156,18.574,0.151
295.90734889,-14.98371111,295.907349,-14.983711,18.448,0.073,17.929,0.077,17.664,0.078
295.90734889,-15.10235,295.907349,-15.10235,17.818,0.043,17.516,0.053,17.455,0.065
295.90737889,-14.91850889,295.907379,-14.918509,13.025,0.003,12.781,0.002,12.746,0.002
295.90737889,-15.00846111,295.907379,-15.008461,17.462,0.033,16.814,0.029,16.812,0.038
