Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog
,296.190338,-14.641755,17.59,,16.78,,16.4,,C ,0.164760072,Sibbons
,296.32608,-14.666169,17.58,,16.8,,16.51,,C ,0.166108059,Sibbons
,296.335388,-14.681108,18.39,,17.51,,17.1,,C ,0.160130654,Sibbons
,296.539612,-14.704988,17.59,,16.48,,15.73,,C ,0.324356285,Sibbons
,296.099152,-14.708244,17.48,,16.63,,16.27,,C ,0.16077816,Sibbons
,296.374054,-14.711063,17.55,,16.85,,16.52,,C ,0.170179856,Sibbons
,296.075775,-14.711885,18.14,,17.39,,17.1,,C ,0.178456428,Sibbons
,296.341431,-14.712852,17.32,,16.39,,15.85,,C ,0.142497386,Sibbons
,296.110779,-14.725801,17.15,,16.18,,15.45,,C ,0.141314373,Sibbons
,295.977081,-14.726664,17.58,,16.77,,16.22,,C ,0.263806597,Sibbons
,296.08786,-14.740214,17.23,,18.14,,15.9,,C ,0.154856771,Sibbons
,296.171387,-14.745203,18.02,,17.23,,16.97,,C ,0.081387996,Sibbons
,296.342804,-14.764064,18.2,,17.41,,17.02,,C ,0.118907332,Sibbons
,296.106384,-14.767224,17.62,,16.8,,16.58,,C ,0.128325533,Sibbons
,296.304626,-14.767883,17.76,,17.03,,16.59,,C ,0.08191826,Sibbons
,296.333038,-14.770712,18.24,,17.51,,17.25,,C ,0.10758823,Sibbons
,296.162018,-14.82305,17.45,,16.64,,16.28,,C ,0.071264695,Sibbons
,296.167816,-14.842195,17.72,,16.99,,16.6,,C ,0.074223483,Sibbons
,296.066071,-14.844581,17.44,,16.78,,16.3,,C ,0.169452268,Sibbons
,296.364624,-14.865284,17.45,,16.57,,16.19,,C ,0.148897154,Sibbons
,296.297241,-14.869897,17.49,,16.7,,16.21,,C ,0.095792879,Sibbons
,296.207458,-14.896397,17.39,,16.58,,16.2,,C ,0.097372205,Sibbons
,296.368011,-14.913227,16.96,,15.87,,15.15,,C ,0.177459856,Sibbons
,296.08905,-14.945495,18.64,, ,,15.9,,C ,0.201376595,Sibbons
,296.06134,-14.955141,18.23,,17.2,,17.1,,C ,0.228034084,Sibbons
,295.969788,-14.97507,17.69,,16.93,,16.6,,C ,0.312694491,Sibbons
,296.090485,-15.010141,18.2,,16.77,,16.74,,C ,0.250847749,Sibbons
,295.9715833,-14.87727778,17.725,,,,15.896,,C,0.269250306,demmers
,295.9795,-14.88288889,17.659,,,,15.924,,C,0.263337726,demmers
,295.9872917,-14.71725,17.919,,,,15.837,,C,0.256970923,demmers
,296.0039167,-14.86283333,18.406,,,,16.695,,C,0.234210613,demmers
,296.0052083,-14.88833333,16.932,,,,15.307,,C,0.240918744,demmers
,296.0104583,-14.74452778,16.983,,,,15.361,,C,0.226856323,demmers
,296.01275,-14.74005556,17.553,,,,15.745,,C,0.225818294,demmers
,296.0195,-14.78566667,17.926,,,,16.385,,C,0.211107453,demmers
,296.0288333,-14.90255556,17.471,,,,15.156,,C,0.225046523,demmers
,296.0429167,-14.78219444,17.033,,,,15.322,,C,0.188094281,demmers
,296.048125,-14.89977778,17.64,,,,15.913,,C,0.20664862,demmers
,296.0512083,-14.72680556,17.588,,,,15.526,,C,0.193832805,demmers
,296.0512917,-14.86669444,17.677,,,,15.785,,C,0.19017054,demmers
,296.053,-14.92319444,17.944,,,,16.189,,C,0.214702561,demmers
,296.0642083,-14.73602778,17.69,,,,15.998,,C,0.178313737,demmers
,296.0672917,-14.90311111,18.114,,,,16.186,,C,0.191740162,demmers
,296.0719583,-14.84902778,17.452,,,,15.915,,C,0.164984661,demmers
,296.0726667,-14.85652778,17.853,,,,16.275,,C,0.166622757,demmers
,296.076875,-14.878,17.83,,,,16.111,,C,0.171095104,demmers
,296.0774167,-14.78311111,17.557,,,,15.866,,C,0.153707826,demmers
,296.0783333,-14.78972222,17.493,,,,15.54,,C,0.152136575,demmers
,296.0819167,-14.75133333,17.459,,,,15.951,,C,0.156404744,demmers
,296.0848333,-14.78113889,17.931,,,,16.142,,C,0.146611382,demmers
,296.0854167,-14.8265,18.069,,,,16.191,,C,0.146699896,demmers
,296.0927917,-14.89219444,17.852,,,,15.69,,C,0.164380023,demmers
,296.1002083,-14.78658333,17.618,,,,15.548,,C,0.130665577,demmers
,296.103625,-14.72475,17.362,,,,15.267,,C,0.147943662,demmers
,296.1045,-14.84272222,18.09,,,,15.562,,C,0.132043685,demmers
,296.106625,-14.87427778,17.896,,,,16.268,,C,0.143154743,demmers
,296.1095,-14.93286111,17.901,,,,15.859,,C,0.178132977,demmers
,296.1097083,-14.74066667,17.474,,,,15.91,,C,0.134875866,demmers
,296.111,-14.85966667,17.429,,,,15.315,,C,0.132380564,demmers
,296.1127917,-14.86825,17.534,,,,15.622,,C,0.134798672,demmers
,296.1151667,-14.76961111,17.448,,,,15.497,,C,0.119224407,demmers
,296.1187083,-14.84547222,18.291,,,,16.169,,C,0.119601325,demmers
