#,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG
280,,296.365631,-14.891643,15.562,,14.712,,14.318,,C  ,0.16276028044334778
281,,296.335785,-14.902986,17.233,,16.411,,16.022,,C  ,0.14647661274412907
282,,296.275116,-14.926181,18.321,,17.4,,17.123,,C  ,0.13243278512891232
283,,296.293854,-14.708783,17.537,,16.573,,16.344,,C  ,0.11271791377149798
284,,296.299103,-14.783449,17.48,,16.529,,15.729,,C  ,0.07146488263474464
285,,296.134644,-14.67692,17.35,,16.321,,15.771,,C  ,0.15702015550879747
286,,296.121368,-14.679315,17.359,,16.399,,16.029,,C  ,0.16362046769582264
287,,296.170105,-14.696488,17.366,,16.439,,16.089,,C  ,0.12103992791225807
288,,296.20285,-14.700215,17.115,,15.986,,15.382,,C  ,0.10502494715542708
289,,296.187347,-14.717557,17.671,,16.723,,16.491,,C  ,0.09430946494388884
290,,296.198029,-14.719869,17.606,,16.479,,15.802,,C  ,0.08782680935796305
291,,296.103516,-14.723016,17.447,,16.545,,16.07,,C  ,0.14894513745672022
292,,296.151001,-14.726998,16.872,,16,,15.486,,C  ,0.10870487378678827
293,,296.159454,-14.733295,17.518,,16.572,,15.92,,C  ,0.09824397559649646
294,,296.179535,-14.737016,17.065,,16.054,,15.353,,C  ,0.08201741242567348
295,,296.179321,-14.742605,17.415,,16.49,,15.87,,C  ,0.077826957193509
296,,296.207184,-14.745038,17.006,,15.993,,15.379,,C  ,0.06105532966090364
297,,296.179443,-14.752915,16.663,,15.734,,15.234,,C  ,0.07023574783543374
298,,296.203827,-14.755259,17.967,,17.164,,16.598,,C  ,0.053282331499301
299,,296.181671,-14.7577,17.175,,16.282,,15.944,,C  ,0.06533799155929335
300,,296.202637,-14.773767,17.296,,16.414,,15.714,,C  ,0.03908082877834117
301,,296.194275,-14.821965,17.296,,16.408,,15.902,,C  ,0.04108725654020967
302,,296.163879,-14.827393,17.105,,15.991,,15.211,,C  ,0.07094828658960926
303,,296.170105,-14.844587,17.354,,16.234,,15.509,,C  ,0.07368364753461161
304,,296.156158,-14.860965,17.108,,16.214,,15.634,,C  ,0.09470236527670271
305,,296.171783,-14.865685,17.105,,16.145,,15.625,,C  ,0.08652825731517699
306,,296.178711,-14.876316,18.07,,17.083,,16.72,,C  ,0.09056813367294055
307,,296.155457,-14.878673,17.625,,16.429,,15.762,,C  ,0.10717332157771706
308,,296.19754,-14.883656,17.866,,16.778,,16.2,,C  ,0.08817797795368773
309,,296.201691,-14.886331,16.685,,15.619,,15.007,,C  ,0.08926860815539868
310,,296.089813,-14.905375,17.896,,16.855,,16.316,,C  ,0.17437638026409188
311,,296.17276,-14.922873,16.532,,15.67,,15.261,,C  ,0.13403948973718144
312,,296.209412,-14.569217,17.453,,16.39,,15.66,,C  ,0.23336294254444326
313,,296.040436,-14.607334,18.163,,17.085,,16.646,,C  ,0.27147926438681635
314,,295.99939,-14.635953,17.817,,16.896,,16.458,,C  ,0.2839772811141863
315,,296.021149,-14.796692,17.356,,16.289,,15.713,,C  ,0.2089103173254399
316,,296.4646,-14.807542,17.144,,16.231,,15.567,,C  ,0.23467347609817385
317,,296.51123,-14.584842,17.755,,16.79,,16.308,,C  ,0.3551122280124922
318,,296.521149,-14.614511,18.27,,17.226,,16.797,,C  ,0.3461159220289894
319,,296.488861,-14.638191,17.496,,16.557,,15.974,,C  ,0.30616074333915316
