Ra(J2000) deg	Dec(J2000) deg	J	eJ	Ks	eKs
296.6964	-14.5816	18.11	1.57	16.55	0.00
296.7232	-14.4254	18.24	2.07	16.17	0.00
296.7270	-14.4650	18.29	1.66	16.63	0.00
296.7341	-14.6738	18.27	1.63	16.64	0.00
296.7493	-14.7584	18.09	1.69	16.41	0.00
296.7532	-14.8601	17.71	1.68	16.04	0.00
296.7639	-14.4964	17.76	1.54	16.22	0.00
296.7705	-14.7495	18.36	1.49	16.87	0.00
296.7725	-14.7960	18.30	1.50	16.80	0.00
296.8193	-14.7532	18.16	1.81	16.35	0.00
296.8233	-14.6047	17.22	1.73	15.49	0.00
296.8533	-14.3934	17.91	1.69	16.22	0.00
296.8658	-14.4414	17.35	1.70	15.65	0.00
296.9001	-14.4304	17.85	1.70	16.15	0.00
296.9013	-14.4222	17.44	1.52	15.91	0.00
296.9028	-14.4441	18.22	1.75	16.48	0.00
