#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.69 -0.09  0.11105 -2.702 3.481  5.054 10.00  0.034 0.89 20.904 27.178 25.340 23.579 22.221 20.518 18.990 18.451 18.166  0.111 
 1   8.69  0.07  0.56593 -1.228 3.609  4.801 10.50  0.036 0.89 17.768 21.139 20.056 18.796 17.927 17.116 16.159 15.487 15.356  0.566 
 1   8.69  0.11  0.08241 -3.065 3.426  5.070  8.40  0.026 0.00 20.831 28.889 26.532 24.575 22.873 20.758 18.785 18.261 17.948  0.082 
 1   8.71  0.11  0.09201 -2.932 3.447  5.068 10.90  0.037 0.00 22.999 30.175 28.117 26.262 24.721 22.777 21.004 20.478 20.174  0.092 
 1   8.71  0.39  0.28870 -1.957 3.549  4.997 11.20  0.037 0.00 20.863 25.261 23.930 22.455 21.430 20.256 19.123 18.547 18.311  0.289 
 1   8.73 -0.31  0.17866 -2.289 3.539  5.082 12.10  0.038 0.00 22.592 27.319 25.798 24.208 23.151 21.996 20.855 20.279 20.034  0.179 
 1   8.73 -0.01  0.65395 -0.992 3.636  4.737  9.40  0.032 0.00 16.650 19.559 18.541 17.364 16.606 15.994 15.152 14.471 14.373  0.654 
 1   8.73 -0.01  0.72823 -0.799 3.659  4.683 11.90  0.038 0.00 18.668 21.201 20.302 19.212 18.535 18.001 17.236 16.605 16.524  0.728 
 1   8.73  0.09  0.10343 -2.807 3.464  5.061  9.80  0.034 0.00 21.587 28.137 26.273 24.497 23.071 21.267 19.637 19.109 18.813  0.103 
 1   8.73  0.09  0.94978 -0.268 3.729  4.544 14.60  0.038 0.80 19.714 21.330 20.850 19.969 19.457 19.037 18.448 17.968 17.910  0.950 
 1   8.75 -0.29  0.22703 -2.087 3.563  5.078 11.20  0.037 0.00 21.187 25.323 24.005 22.534 21.546 20.545 19.494 18.914 18.697  0.227 
 1   8.75 -0.03  0.68959 -0.893 3.648  4.706 11.60  0.038 0.00 18.601 21.328 20.363 19.228 18.510 17.943 17.137 16.474 16.386  0.690 
 1   8.75  0.19  0.12743 -2.636 3.478  5.037  9.90  0.034 0.82 20.703 26.956 25.194 23.458 22.086 20.347 18.772 18.243 17.951  0.127 
 1   8.77 -0.43  0.51962 -1.244 3.625  4.845 14.50  0.038 0.00 22.380 25.302 24.347 23.142 22.357 21.720 20.867 20.203 20.080  0.520 
 1   8.77 -0.09  0.13269 -2.585 3.493  5.065 11.30  0.037 0.00 22.532 28.264 26.578 24.886 23.631 22.074 20.665 20.121 19.848  0.133 
 1   8.77  0.15  0.19548 -2.272 3.529  5.065 12.10  0.038 0.00 22.551 27.334 25.922 24.388 23.294 21.984 20.761 20.206 19.958  0.195 
 1   8.77  0.19  0.11770 -2.717 3.471  5.055 11.00  0.037 0.98 21.834 28.169 26.372 24.622 23.237 21.484 19.901 19.372 19.080  0.118 
 1   8.77  0.47  0.51364 -1.370 3.592  4.834 10.40  0.036 0.00 18.595 22.197 21.126 19.908 18.988 17.972 16.910 16.235 16.097  0.514 
 1   8.79 -0.13  1.12372  0.160 3.790  4.433  9.70  0.033 0.00 14.069 14.684 14.684 14.132 13.799 13.506 13.146 12.860 12.833  1.124 
 1   8.79 -0.05  0.80344 -0.591 3.690  4.638 11.90  0.038 0.86 17.699 19.878 19.144 18.131 17.518 17.024 16.318 15.734 15.660  0.803 
 1   8.79 -0.01  0.28557 -1.941 3.558  5.015  9.50  0.032 0.78 18.602 22.883 21.585 20.132 19.121 17.981 16.868 16.292 16.065  0.286 
 1   8.79 -0.01  0.08017 -3.211 3.412  5.146 10.30  0.035 0.00 23.098 32.075 29.315 27.243 25.392 23.158 21.026 20.490 20.177  0.080 
 1   8.79  0.17  2.49248  2.391 3.634  1.925 10.40  0.036 0.00  9.193 12.626 11.226  9.874  9.159  8.563  7.677  6.995  6.890  2.492 
 1   8.79  0.23  0.27016 -2.013 3.545  5.009 11.40  0.037 0.73 20.721 25.295 23.930 22.429 21.373 20.133 18.957 18.391 18.149  0.270 
 1   8.81 -0.33  0.06744 -3.718 3.329  5.248  8.30  0.025 0.00 22.364 35.613 31.247 28.458 25.915 23.392 20.353 19.635 19.244  0.067 
 1   8.81 -0.23  4.18828 -2.307 4.190  8.377 10.50  0.036 0.00 21.038 21.672 22.256 22.370 22.429 22.513 22.711 22.770 22.817  0.839 
 1   8.81 -0.17  0.28505 -1.915 3.568  5.025 10.30  0.035 0.00 19.859 23.843 22.606 21.189 20.215 19.209 18.162 17.579 17.374  0.285 
 1   8.81 -0.17  0.21849 -2.139 3.554  5.078 11.00  0.037 0.93 20.431 24.818 23.434 21.927 20.911 19.811 18.712 18.135 17.901  0.218 
 1   8.81 -0.13  0.73980 -0.728 3.673  4.672  9.20  0.031 0.80 15.425 17.837 17.018 15.953 15.290 14.752 13.992 13.370 13.284  0.740 
 1   8.81  0.05  0.53866 -1.294 3.603  4.822  9.40  0.032 0.00 17.404 20.751 19.672 18.410 17.544 16.747 15.799 15.122 14.994  0.539 
 1   8.81  0.05  0.13830 -2.574 3.490  5.060 13.40  0.038 0.00 24.604 30.328 28.697 27.027 25.758 24.166 22.724 22.189 21.911  0.138 
 1   8.81  0.11  0.16682 -2.409 3.509  5.052 10.80  0.037 0.00 21.593 26.821 25.316 23.717 22.540 21.086 19.756 19.214 18.951  0.167 
 1   8.81  0.13  0.55174 -1.269 3.603  4.808  9.50  0.032 0.00 17.443 20.812 19.729 18.477 17.610 16.792 15.832 15.148 15.022  0.552 
 1   8.81  0.29  0.49375 -1.418 3.588  4.848 10.20  0.035 0.91 17.895 21.593 20.511 19.252 18.305 17.262 16.191 15.558 15.399  0.494 
 1   8.81  0.31  0.96260 -0.260 3.725  4.529 10.40  0.036 0.00 15.819 17.393 16.878 15.999 15.512 15.123 14.589 14.173 14.124  0.963 
 1   8.83 -0.05  0.61730 -1.076 3.628  4.763 14.50  0.038 0.00 21.961 24.990 23.949 22.741 21.955 21.311 20.444 19.753 19.646  0.617 
 1   8.83  0.07  0.29878 -1.910 3.557  4.998 11.30  0.037 0.00 20.846 25.063 23.789 22.356 21.352 20.224 19.118 18.536 18.315  0.299 
 1   8.83  0.13  0.09011 -3.058 3.435  5.138  9.20  0.031 0.00 21.615 29.427 27.107 25.173 23.524 21.475 19.590 19.061 18.757  0.090 
 1   8.83  0.17  0.21648 -2.194 3.535  5.054  9.30  0.031 0.97 18.829 23.499 22.110 20.592 19.519 18.247 17.051 16.491 16.247  0.216 
 1   8.83  0.25  0.58744 -1.191 3.610  4.784  8.50  0.026 0.00 16.247 19.571 18.477 17.246 16.398 15.597 14.647 13.953 13.836  0.587 
 1   8.83  0.25  0.20712 -2.231 3.532  5.059 10.60  0.036 0.00 20.947 25.675 24.275 22.749 21.665 20.373 19.164 18.606 18.360  0.207 
 1   8.83  0.31  0.07816 -3.334 3.391  5.176  9.00  0.030 0.00 22.104 32.206 28.968 26.760 24.723 22.358 20.005 19.451 19.133  0.078 
 1   8.83  0.33  0.59136 -1.182 3.611  4.782 10.80  0.037 0.78 18.093 21.558 20.461 19.226 18.348 17.456 16.454 15.779 15.648  0.591 
 1   8.83  0.45  0.13191 -2.645 3.479  5.066 11.60  0.038 0.00 22.982 29.036 27.315 25.600 24.269 22.589 21.074 20.542 20.256  0.132 
 1   8.85 -0.33  0.17251 -2.339 3.534  5.098 11.70  0.038 0.00 22.318 27.169 25.607 23.992 22.918 21.732 20.571 19.997 19.749  0.173 
 1   8.85 -0.27  0.17345 -2.342 3.532  5.094 12.20  0.038 0.00 22.824 27.691 26.148 24.542 23.461 22.243 21.066 20.495 20.247  0.173 
 1   8.85  0.01  0.11717 -2.754 3.476  5.111 11.50  0.038 0.88 22.555 28.942 27.105 25.343 23.955 22.201 20.621 20.089 19.799  0.117 
 1   8.85  0.07  0.27143 -1.993 3.552  5.017  9.10  0.030 0.00 18.852 23.182 21.866 20.404 19.389 18.234 17.115 16.538 16.307  0.271 
 1   8.85  0.31  0.36356 -1.748 3.563  4.946 14.70  0.038 0.00 23.840 27.923 26.720 25.350 24.354 23.218 22.107 21.513 21.309  0.364 
 1   8.85  0.35  0.17829 -2.370 3.514  5.060 10.90  0.037 0.74 21.140 26.506 24.973 23.359 22.157 20.661 19.285 18.745 18.476  0.178 
 1   8.85  0.43  0.21705 -2.195 3.534  5.052 10.50  0.036 0.00 20.756 25.443 24.052 22.532 21.456 20.178 18.978 18.418 18.173  0.217 
 1   8.87 -0.15  2.17854  1.597 3.887  3.674 11.00  0.037 0.00 11.778 12.052 11.971 11.762 11.634 11.520 11.377 11.289 11.274  2.179 
 1   8.87  0.03  0.09163 -3.073 3.438  5.172  9.60  0.033 0.00 22.052 29.793 27.477 25.547 23.916 21.889 20.035 19.503 19.203  0.092 
 1   8.87  0.19  0.14792 -2.543 3.490  5.059  9.10  0.030 0.00 20.227 25.938 24.310 22.643 21.375 19.784 18.344 17.811 17.533  0.148 
 1   8.87  0.27  0.07792 -3.393 3.384  5.205 10.00  0.034 0.00 23.252 33.807 30.362 28.098 25.989 23.585 21.152 20.584 20.266  0.078 
 1   8.87  0.27  1.45702  0.651 3.828  4.208 11.40  0.037 0.00 14.544 15.016 14.982 14.537 14.270 14.047 13.788 13.596 13.575  1.457 
 1   8.87  0.31  1.55522  0.783 3.842  4.160 10.40  0.036 0.00 13.212 13.627 13.589 13.190 12.951 12.754 12.529 12.366 12.346  1.555 
