Gc,logAg,e [M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,U,B,V,R,I,J,H,K,Mact
1,7.59,-0.27,0.26884,-1.948,3.57,5.044,10.3,0.723,0,19.941,24.928,23.523,21.902,20.803,19.699,18.46,17.801,17.553,0.269
1,7.59,-0.09,0.52658,-1.303,3.607,4.837,9.6,0.667,0,17.627,21.868,20.65,19.205,18.232,17.348,16.231,15.491,15.319,0.527
1,7.59,0.01,0.02124,-3.493,3.289,4.36,6.8,0.315,0,20.303,35.137,30.743,27.52,24.725,22.139,18.554,17.678,17.045,0.021
1,7.59,0.03,0.46477,-1.476,3.588,4.879,9.3,0.636,0.92,17.111,21.686,20.427,18.946,17.9,16.816,15.612,14.926,14.721,0.465
1,7.59,0.13,0.36202,-1.749,3.566,4.955,9.2,0.625,0,18.343,23.277,21.93,20.385,19.287,18.063,16.793,16.137,15.896,0.362
1,7.59,0.19,0.12791,-2.025,3.487,4.462,10.1,0.71,0,19.933,26.75,24.961,23.095,21.68,19.918,18.242,17.635,17.307,0.128
1,7.61,-0.17,0.27817,-1.938,3.566,5.031,10.7,0.743,0,20.314,25.429,24.001,22.371,21.258,20.094,18.824,18.162,17.907,0.278
1,7.61,-0.11,0.26453,-1.988,3.56,5.036,10.8,0.747,0,20.541,25.804,24.337,22.685,21.555,20.336,19.039,18.377,18.113,0.265
1,7.61,-0.01,0.6344,-1.046,3.631,4.755,9.7,0.677,0,17.086,21.082,19.88,18.493,17.592,16.821,15.763,15,14.855,0.634
1,7.61,0.01,0.56077,-1.236,3.61,4.808,11.1,0.757,0,18.961,23.347,22.09,20.626,19.643,18.742,17.595,16.831,16.66,0.561
1,7.61,0.05,0.06158,-2.639,3.448,4.603,11,0.754,0,22.369,30.454,28.343,26.318,24.661,22.58,20.589,19.987,19.628,0.062
1,7.61,0.11,1.14327,0.11,3.775,4.431,14.1,0.77,0,18.596,20.56,20.254,19.401,18.892,18.423,17.803,17.412,17.331,1.143
1,7.61,0.15,0.09648,-2.207,3.476,4.478,10,0.702,0.89,19.625,26.829,24.939,23.022,21.533,19.665,17.896,17.294,16.956,0.096
1,7.61,0.25,0.28334,-1.975,3.548,5.002,8.1,0.484,0.89,17.167,22.333,20.876,19.26,18.136,16.838,15.549,14.927,14.659,0.283
1,7.63,0.13,1.172,0.162,3.78,4.41,11.5,0.764,0,15.865,17.781,17.489,16.656,16.158,15.699,15.094,14.715,14.636,1.172
1,7.63,0.15,0.16253,-2.017,3.506,4.635,8.9,0.589,0,18.714,24.842,23.205,21.445,20.149,18.554,17.032,16.431,16.127,0.163
1,7.63,0.23,0.06451,-2.629,3.45,4.624,12.2,0.769,0.72,23.053,31.316,29.198,27.165,25.474,23.344,21.259,20.661,20.29,0.065
1,7.63,0.25,0.04611,-2.882,3.417,4.598,10.8,0.747,0,22.775,31.531,29.42,27.379,25.543,23.248,20.931,20.348,19.952,0.046
1,7.63,0.31,0.11572,-2.113,3.482,4.487,10.7,0.743,0.9,20.079,27.143,25.297,23.395,21.936,20.113,18.38,17.772,17.436,0.116
1,7.65,-0.23,0.15479,-1.959,3.519,4.609,8.6,0.551,0,18.268,24.169,22.474,20.698,19.471,18.034,16.627,16.006,15.714,0.155
1,7.65,-0.05,0.17733,-1.961,3.509,4.565,9.6,0.667,0.86,18.679,24.705,23.076,21.316,20.055,18.531,17.048,16.428,16.127,0.153
1,7.65,-0.05,0.08321,-2.327,3.476,4.534,10,0.702,0,20.587,27.757,25.844,23.92,22.446,20.607,18.871,18.263,17.929,0.083
1,7.65,0.01,1.29605,0.41,3.814,4.342,11.8,0.767,0.84,15.171,16.883,16.684,15.952,15.498,15.069,14.509,14.161,14.086,1.296
1,7.65,0.03,0.1144,-2.126,3.489,4.526,11.5,0.764,0,21.585,28.409,26.626,24.755,23.345,21.592,19.917,19.303,18.974,0.114
1,7.65,0.09,0.063,-2.668,3.448,4.642,8.8,0.577,0,20.24,28.056,25.985,24.01,22.387,20.343,18.407,17.826,17.479,0.063
1,7.65,0.13,0.13337,-2.035,3.491,4.51,11.9,0.768,0,21.759,28.53,26.761,24.896,23.497,21.76,20.097,19.482,19.154,0.133
1,7.65,0.25,0.25574,-2.059,3.542,5.019,14.3,0.77,0,24.217,29.881,28.34,26.633,25.444,24.066,22.676,22.024,21.735,0.256
1,7.65,0.31,0.28336,-1.975,3.548,5.002,11.4,0.763,0,21.107,26.65,25.132,23.443,22.276,20.939,19.578,18.921,18.636,0.283
1,7.67,-0.23,0.11052,-2.148,3.5,4.577,14,0.77,0,24.139,30.85,28.976,27.065,25.715,24.09,22.52,21.88,21.561,0.111
1,7.67,-0.09,1.54082,0.781,3.88,4.31,8.2,0.498,0.8,10.687,11.72,11.619,11.168,10.883,10.61,10.265,10.056,10.01,1.541
1,7.67,-0.09,0.06188,-2.703,3.445,4.66,9.9,0.694,0,21.429,29.613,27.412,25.369,23.697,21.61,19.631,19.031,18.679,0.062
1,7.67,-0.05,0.27962,-1.954,3.56,5.023,10.5,0.734,0,20.154,25.4,23.95,22.312,21.183,19.944,18.642,17.982,17.718,0.28
1,7.67,-0.01,0.06801,-2.637,3.453,4.665,8.8,0.577,0.9,19.496,27.273,25.205,23.232,21.619,19.589,17.668,17.085,16.74,0.068
1,7.67,0.05,0.0619,-2.703,3.445,4.661,9,0.602,0,20.528,28.429,26.353,24.37,22.73,20.665,18.698,18.115,17.765,0.062
1,7.67,0.07,1.39052,0.542,3.828,4.296,11.6,0.765,0,15.015,16.566,16.4,15.761,15.358,14.976,14.488,14.204,14.136,1.391
1,7.67,0.17,1.1002,0.015,3.762,4.457,10.2,0.717,0,14.933,16.997,16.609,15.707,15.178,14.702,14.063,13.651,13.569,1.1
1,7.67,0.19,0.19136,-2.207,3.525,4.972,11.7,0.766,0,21.988,27.961,26.37,24.623,23.375,21.874,20.401,19.767,19.468,0.191
1,7.67,0.21,0.0461,-2.934,3.414,4.638,10,0.702,0.89,21.466,30.578,28.333,26.249,24.351,21.996,19.589,19.007,18.61,0.046
1,7.67,0.33,0.18167,-2.152,3.517,4.865,11,0.754,0,21.15,27.269,25.647,23.878,22.602,21.052,19.543,18.916,18.611,0.182
1,7.67,0.33,0.08847,-2.314,3.467,4.513,11.3,0.761,0,21.854,29.332,27.375,25.417,23.882,21.958,20.128,19.52,19.175,0.088
1,7.69,-0.29,0.08248,-2.355,3.486,4.598,11.9,0.768,0,22.557,29.803,27.732,25.736,24.3,22.555,20.905,20.262,19.937,0.082
1,7.69,0.01,0.20389,-2.224,3.54,5.078,10.1,0.71,0,20.43,26.051,24.506,22.802,21.618,20.244,18.867,18.225,17.939,0.204
1,7.69,0.03,0.12813,-2.088,3.494,4.556,11.2,0.759,0,21.189,27.867,26.121,24.27,22.887,21.173,19.531,18.917,18.592,0.128
1,7.69,0.05,0.46385,-1.481,3.587,4.879,10.5,0.734,0,18.972,23.667,22.39,20.889,19.831,18.738,17.508,16.803,16.596,0.464
1,7.69,0.05,0.08878,-2.321,3.474,4.55,10.8,0.747,0,21.372,28.595,26.708,24.784,23.295,21.431,19.662,19.054,18.714,0.089
1,7.69,0.07,1.49372,0.679,3.848,4.272,10,0.702,0,13.072,14.447,14.296,13.742,13.392,13.058,12.636,12.398,12.337,1.494
1,7.69,0.19,0.08151,-2.384,3.462,4.527,11,0.754,0.98,21.005,28.669,26.658,24.678,23.107,21.136,19.262,18.656,18.307,0.082
