,index,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types,DCG,Catalog,index,_RAJ2000(deg),_DEJ2000(deg),RAJ2000(deg),DEJ2000(deg),IRAC1(mag),dIRAC1(mag),IRAC2(mag),dIRAC2(mag),l_IRAC3( ),IRAC3(mag),dIRAC3(mag),l_IRAC4( ),IRAC4(mag),dIRAC4(mag),l_MIPS24( ),MIPS24(mag)
73,86,20542.0,296.17703,-14.71031,17.84,,16.76,,16.02,,C,0.105605258,Whitelock,8528,296.17703194,-14.7102,296.177032,-14.7102,15.39,-0.02,15.29,-0.06, ,15.2,-0.05, ,14.76,-0.01,>,12.8
74,307,,296.178711,-14.876316,18.07,,17.083,,16.72,,C,0.090568134,Kacharov,8679,296.17874111,-14.87628,296.178741,-14.87628,16.18,-0.04,16.22,-0.04, ,15.8,-0.15, ,15.46,-0.37, ,12.15
75,276,,296.178772,-14.868636,17.478,,16.402,,15.788,,C,0.084313422,Kacharov,8683,296.17883306,-14.86864,296.178833,-14.86864,15.12,-0.05,15.14,-0.02, ,14.97,-0.05, ,14.54,0.04,>,12.47
76,0,10870.0,296.17892,-14.82286,17.52,0.04,16.53,0.04,16.19,0.05,S,0.055300836,Whitelock,8690,296.178925,-14.82271,296.178925,-14.82271,15.94,-0.05,16.01,-0.08, ,16.12,-0.24, ,15.53,0.02,>,13.24
77,296,,296.179321,-14.742605,17.415,,16.49,,15.87,,C,0.077826957,Kacharov,8730,296.17938194,-14.74265,296.179382,-14.74265,15.21,0.0,15.08,-0.06, ,14.77,-0.07, ,14.56,0.16, ,11.78
78,113,,296.179413,-14.688039,17.24,,16.35,,16.08,,C,0.124382671,Sibbons,8731,296.17938194,-14.68802,296.179382,-14.68802,15.87,-0.02,15.88,-0.03, ,15.96,-0.39, ,15.56,0.0,>,12.85
79,298,,296.179443,-14.752915,16.663,,15.734,,15.234,,C,0.070235748,Kacharov,8741,296.17950389,-14.75292,296.179504,-14.75292,14.65,-0.03,14.55,-0.06, ,14.41,-0.04, ,14.16,-0.01, ,12.29
80,61,11305.0,296.17957,-14.77527,18.02,,16.56,,15.45,,LPV,0.056922271,Whitelock,8749,296.179565,-14.77517,296.179565,-14.77517,14.11,0.11,13.7,0.07, ,13.31,0.0, ,13.04,0.06,>,12.56
81,295,,296.179535,-14.737016,17.065,,16.054,,15.353,,C,0.082017412,Kacharov,8754,296.17962611,-14.73701,296.179626,-14.73701,15.0,0.01,15.1,-0.06, ,14.96,-0.04, ,14.48,-0.06,>,12.31
82,274,,296.179565,-14.858191,17.341,,16.375,,15.818,,C,0.075751651,Kacharov,8755,296.17962611,-14.85822,296.179626,-14.85822,15.1,-0.16,15.25,-0.1, ,15.37,-0.05, ,14.69,-0.22,>,12.35
83,83,20540.0,296.18011,-14.71067,17.88,,16.89,,16.39,,C,0.103778669,Whitelock,8795,296.18008389,-14.71055,296.180084,-14.71055,16.07,-0.01,15.97,-0.02, ,15.92,-0.15, ,15.96,0.09,>,12.52
84,269,,296.180084,-14.825297,17.231,,16.366,,15.897,,C,0.055225376,Kacharov,8799,296.180145,-14.8253,296.180145,-14.8253,15.45,-0.04,15.42,-0.06, ,15.09,-0.04, ,14.86,0.17,>,12.25
85,47,11032.0,296.18048,-14.80431,18.2,,16.91,,15.94,,LPV,0.049590322,Whitelock,8831,296.18045,-14.80418,296.18045,-14.80418,15.52,0.98,14.05,-0.03, ,13.69,-0.08, ,13.52,-0.07,>,12.4
86,300,,296.181671,-14.7577,17.175,,16.282,,15.944,,C,0.065337992,Kacharov,8961,296.18173194,-14.7577,296.181732,-14.7577,15.71,-0.07,15.59,-0.18, ,15.41,-0.19, ,14.92,-0.58,>,11.92
87,90,20375.0,296.18277,-14.74815,18.03,,16.62,,15.59,,C,0.071379712,Whitelock,9039,296.18273889,-14.748,296.182739,-14.748,14.54,0.01,14.14,-0.04, ,14.01,0.01, ,13.69,-0.01, ,11.71
88,168,,296.182983,-14.828946,17.6,,16.81,,16.58,,C ,0.054356034,Sibbons,9068,296.183075,-14.82892,296.183075,-14.82892,16.11,0.23,16.09,0.23, ,15.48,-0.14, ,15.62,0.05,>,12.15
89,12,11391.0,296.18323,-14.76308,18.39,0.32,16.94,0.18,15.82,0.14,LAV,0.060635147,Whitelock,9085,296.18319694,-14.76298,296.183197,-14.76298,14.58,-0.07,14.25,-0.07, ,14.06,-0.16, ,13.65,-0.04,>,12.6
90,22,20608.0,296.18378,-14.68249,19.57,1.4,17.64,0.95,16.06,0.67,LAV,0.127828638,Whitelock,9135,296.18377694,-14.68244,296.183777,-14.68244,14.08,-0.07,13.64,0.0, ,13.03,-0.08, ,12.39,-0.01, ,10.57
91,34,12557.0,296.18398,-14.78018,18.23,,17.51,,17.12,,O,0.050790358,Whitelock,9152,296.18396,-14.78008,296.18396,-14.78008,16.38,-0.05,16.23,-0.01, ,15.79,-0.56, ,16.42,0.0,>,12.36
92,163,,296.184326,-14.799191,17.83,,17.03,,16.78,,C,0.045741226,Sibbons,9189,296.18435694,-14.79921,296.184357,-14.79921,16.39,-0.14,16.55,-0.15, ,16.58,0.0,>,16.59,0.0,>,12.19
93,264,,296.184784,-14.717754,17.435,,16.459,,16.039,,C,0.095322514,Kacharov,9229,296.18481389,-14.71779,296.184814,-14.71779,15.58,-0.08,15.69,-0.11, ,15.55,-0.08, ,14.97,0.01,>,12.2
94,102,,296.18609,-14.7787,16.72,,15.9,,15.54,,C,0.049555111,Sibbons,9346,296.18615694,-14.77872,296.186157,-14.77872,15.16,-0.07,15.29,-0.12, ,15.14,-0.23, ,15.0,-0.22,>,12.68
95,371,,296.187256,-14.854028,18.166,,17.224,,16.937,,C,0.067590012,Kacharov,9449,296.18734694,-14.85399,296.187347,-14.85399,16.37,0.4,16.23,0.32, ,16.11,0.44, ,16.26,0.0,>,12.89
96,290,,296.187347,-14.717557,17.671,,16.723,,16.491,,C,0.094309465,Kacharov,9458,296.18743889,-14.71755,296.187439,-14.71755,16.37,-0.04,16.45,-0.06, ,16.04,-0.03, ,16.2,0.0,>,12.65
97,42,30292.0,296.18801,-14.87231,15.88,,15.19,,14.68,,O,0.082177672,Whitelock,9501,296.18804889,-14.87223,296.188049,-14.87223,13.84,-0.03,13.82,0.17, ,13.53,0.03, ,13.21,-0.02,>,11.91
98,275,,296.188385,-14.861088,17.551,,16.547,,16.182,,C,0.07254176,Kacharov,9534,296.18847694,-14.86113,296.188477,-14.86113,15.59,-0.05,15.75,-0.05, ,15.87,-0.06, ,15.45,-0.25,>,12.63
99,5,30528.0,296.19156,-14.89296,17.76,0.06,16.85,0.04,16.51,0.1,S,0.099053004,Whitelock,9820,296.19155889,-14.89288,296.191559,-14.89288,16.22,0.05,16.2,0.02, ,16.66,0.0, ,15.98,-0.27,>,12.61
100,8,10310.0,296.19168,-14.82965,18.32,0.31,16.8,0.19,15.67,0.1,LAV,0.047447896,Whitelock,9830,296.19168111,-14.82955,296.191681,-14.82955,14.84,0.24,14.02,-0.01, ,13.71,-0.07, ,13.4,-0.08,>,11.84
101,263,,296.193542,-14.678253,17.488,,16.498,,16.071,,C,0.128689322,Kacharov,10016,296.193665,-14.67825,296.193665,-14.67825,15.67,0.03,15.58,-0.03, ,15.08,-0.07, ,14.8,-0.4,>,12.63
102,302,,296.194275,-14.821965,17.296,,16.408,,15.902,,C,0.041087257,Kacharov,10066,296.194305,-14.82202,296.194305,-14.82202,15.46,0.41,15.29,0.38, ,15.1,0.52, ,14.85,0.58, ,11.85
103,271,,296.194489,-14.842676,17.014,,16.111,,15.568,,C,0.054245029,Kacharov,10106,296.19458,-14.84272,296.19458,-14.84272,15.01,-0.04,15.14,-0.06, ,15.24,-0.05, ,14.71,-0.01,>,11.85
104,51,13364.0,296.19489,-14.82267,18.1,,16.85,,15.86,,LPV,0.040911027,Whitelock,10134,296.194885,-14.82261,296.194885,-14.82261,14.9,0.14,14.72,0.13, ,14.63,0.36, ,14.09,0.06, ,12.0
105,53,20558.0,296.19647,-14.70265,18.21,,16.6,,15.31,,LPV,0.104542916,Whitelock,10275,296.19647194,-14.70255,296.196472,-14.70255,13.78,-0.02,13.52,-0.04, ,13.16,0.02, ,12.75,-0.05,>,12.55
106,78,40102.0,296.19682,-14.75119,19.69,,17.43,,15.69,,LPV,0.060408135,Whitelock,10311,296.19677694,-14.7511,296.196777,-14.7511,13.94,-0.06,13.22,-0.07, ,12.59,-0.04, ,11.91,0.06, ,10.58
107,266,,296.197662,-14.763362,17.175,,16.255,,15.536,,C,0.050132316,Kacharov,10402,296.19778389,-14.76335,296.197784,-14.76335,14.79,-0.01,14.72,-0.05, ,14.77,0.13, ,14.18,-0.21,>,12.07
108,291,,296.198029,-14.719869,17.606,,16.479,,15.802,,C,0.087826809,Kacharov,10433,296.19805889,-14.71992,296.198059,-14.71992,15.09,-0.05,15.25,-0.04, ,15.03,0.0, ,14.56,0.2,>,13.17
