Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,Ref,R
296.294189,-14.884681,16.906,15.826,15.156,C6.5    ,Kacharov,20.325
296.263153,-14.89839,18.173,17.307,17.075,C5.5    ,Kacharov,20.287
296.266968,-14.910404,17.84,16.579,15.701,C8.2    ,Kacharov,21.533
296.286987,-14.962574,17.446,16.297,15.629,C6.5    ,Kacharov,20.207
296.289246,-14.965583,17.313,16.713,16.45,C       ,Kacharov,18.844
296.311035,-14.973057,17.364,16.349,15.704,C6.5    ,Kacharov,20.228
296.334747,-14.99367,17.319,16.239,15.529,C6.5    ,Kacharov,21.401
296.325409,-14.997616,17.49,16.614,16.124,C5.5    ,Kacharov,19.962
296.250244,-15.015092,18.436,17.14,15.842,C8.2    ,Kacharov,22.244
296.216919,-14.990644,17.631,16.691,16.218,C5.5    ,Kacharov,20.257
296.219086,-14.802538,17.309,16.477,15.994,C5.5    ,Kacharov,20.155
296.16803,-14.836925,18.081,16.862,15.934,C6.5    ,Kacharov,21.08
296.22171,-14.839417,17.929,17,16.501,C5.5    ,Kacharov,20.663
296.204712,-14.849141,17.306,16.262,15.565,C6.5    ,Kacharov,20.326
296.187256,-14.854028,18.166,17.224,16.937,C5.5    ,Kacharov,20.617
296.227081,-14.876891,17.543,16.457,15.858,C5.5    ,Kacharov,20.122
296.226807,-14.881382,17.365,16.369,15.908,C       ,Kacharov,21.294
296.051331,-14.866667,17.404,16.456,15.876,C5.5    ,Kacharov,20.285
296.048126,-14.899792,17.296,16.481,15.876,C5.5    ,Kacharov,19.983
296.028839,-14.902554,17.35,16.164,15.263,C8.2    ,Kacharov,22.678
296.044067,-14.905341,18.504,17.75,17.381,C5.5    ,Kacharov,20.697
296.003693,-14.974893,18.392,17.56,17.21,C5.5    ,Kacharov,20.379
295.993561,-14.990264,17.874,16.702,15.84,C6.5    ,Kacharov,19.735
296.02005,-15.036669,17.751,17.008,16.689,C8.2    ,Kacharov,19.639
296.021637,-15.045016,17.04,16.282,16.056,C5.5    ,Kacharov,19.021
