,index,RAJ2000,DEJ2000,Jmag,Hmag,Kmag,SpType,Ref,Rmag
630,,296.050873,-14.979843,17.588,16.88,16.654,dM4.5   ,Kacharov,20.933
631,,296.02536,-14.984833,18.051,17.614,17.256,dM4.5   ,Kacharov,21.15
632,,295.993561,-14.990264,17.874,16.702,15.84,C6.5    ,Kacharov,19.735
633,,296.017761,-14.995077,17.849,17.05,16.936,M1III   ,Kacharov,19.866
634,,296.045563,-15.00578,17.29,16.687,16.406,dM3.5   ,Kacharov,19.959
635,,296.036987,-15.009061,17.369,16.648,16.493,dM3.5   ,Kacharov,20.085
636,,295.97934,-15.015457,17.607,16.872,16.668,dM0     ,Kacharov,19.019
637,,295.993744,-15.019435,17.743,17.091,16.938,dM3     ,Kacharov,19.883
638,,296.056305,-15.026172,17.87,17.15,17.096,dM2     ,Kacharov,20.169
639,,296.041931,-15.032643,17.826,17.19,16.948,dM4.5   ,Kacharov,20.7
640,,296.02005,-15.036669,17.751,17.008,16.689,C8.2    ,Kacharov,19.639
641,,295.994659,-15.038876,18.321,17.693,17.438,dM1.5   ,Kacharov,19.993
642,,296.021637,-15.045016,17.04,16.282,16.056,C5.5    ,Kacharov,19.021
643,,295.979401,-15.049569,17.948,17.226,17.089,dM4.5   ,Kacharov,20.682
644,,296.040497,-15.052125,17.159,16.498,16.321,dM3     ,Kacharov,19.601
645,,296.040161,-15.055114,18.43,17.362,17.348,M       ,Kacharov,20.201
646,,297.102814,-14.442153,18.075,17.512,17.107,--      ,Kacharov,25.65
647,,297.181274,-14.445981,18.53,18.264,17.292,--      ,Kacharov,19.449
648,,297.216156,-14.453639,17.765,17.021,16.866,dM1.5   ,Kacharov,19.871
649,,297.155334,-14.481108,18.038,17.259,17.179,--      ,Kacharov,18.856
650,,297.108337,-14.49365,18.191,17.383,16.661,--      ,Kacharov,17.725
651,,297.158966,-14.496314,17.297,16.756,16.449,dM3     ,Kacharov,20.093
652,,297.215637,-14.500302,18.073,17.588,17.286,dM4     ,Kacharov,21.48
653,,297.179169,-14.503994,17.677,16.981,16.811,dM1.5   ,Kacharov,19.245
654,,297.150513,-14.513336,17.78,17.283,16.918,dM6 e   ,Kacharov,21.495
