Sp,Seq,RAJ2000,DEJ2000,Dist,Rmag,Jmag,Hmag,Kmag,SpTph,SpType,q_SpType,Nsp,Simbad
 , ,deg,deg,deg,mag,mag,mag,mag, , , , ,
--,------,----------,----------,--------,------,------,------,------,---,--------,-,-,------
sp,65740,296.475342,-14.558714,0.339108,20.101,17.332,16.723,16.514,M  ,dM3     ,5,1,Simbad
sp,67206,296.514954,-14.573689,0.35785,20.874,17.496,16.927,16.638,M  ,dM3.5   ,4,1,Simbad
sp,67628,296.51413,-14.578083,0.354408,20.025,18.111,17.501,17.224,M  ,dM1.5   ,5,1,Simbad
sp,68304,296.51123,-14.584842,0.347889,20.77,17.755,16.79,16.308,C  ,C6.5    ,5,1,Simbad
sp,68961,296.440369,-14.591502,0.291247,19.693,16.866,16.316,16.045,M  ,dM3     ,5,1,Simbad
sp,69615,296.433899,-14.598368,0.281813,19.476,17.976,17.227,17.13,M  ,dM0     ,5,1,Simbad
sp,69875,296.482483,-14.600801,0.315548,19.328,17.206,16.54,16.322,M  ,dM3     ,5,1,Simbad
sp,70172,296.48764,-14.603875,0.317578,18.773,17.107,16.496,16.297,M  ,dM0     ,5,1,Simbad
sp,70629,296.507385,-14.608586,0.330369,21.68,17.734,17.081,16.813,M  ,dM      ,5,1,Simbad
sp,70946,296.422607,-14.611832,0.264272,20.152,17.413,16.802,16.563,M  ,dM3.5   ,5,1,Simbad
sp,71229,296.521149,-14.614511,0.338236,20.662,18.27,17.226,16.797,C  ,C6.5    ,5,1,Simbad
sp,71613,296.427124,-14.618094,0.262953,20.598,17.826,17.294,17.072,M  ,dM4.5   ,4,1,Simbad
sp,71939,296.520874,-14.621428,0.334191,21.007,17.435,16.79,16.587,M  ,dM      ,5,1,Simbad
sp,72429,296.505188,-14.626554,0.318272,19.421,17.942,17.354,17.14,M  ,dM0     ,5,1,Simbad
sp,72667,296.508667,-14.629275,0.31968,19.134,17.35,16.762,16.565,M  ,dM0     ,5,1,Simbad
sp,72881,296.438385,-14.631576,0.262024,19.561,17.726,17.112,16.907,M  ,dM1.5   ,5,1,Simbad
sp,73147,296.48996,-14.63443,0.301241,20.002,18.087,17.367,17.147,M  ,M0.5III ,4,1,Simbad
sp,73508,296.488861,-14.638191,0.298232,20.405,17.496,16.557,15.974,C  ,C6.5 v  ,5,1,Simbad
sp,73972,296.498657,-14.642962,0.303889,18.995,17.604,16.987,16.826,M  ,dM0     ,4,1,Simbad
sp,75055,296.488434,-14.654464,0.289167,22.259,18.159,17.49,17.16,M  ,M0.5III ,5,1,Simbad
sp,65002,296.311554,-14.551598,0.261639,20.918,17.914,17.356,16.982,M  ,dM      ,5,1,Simbad
sp,65342,296.326904,-14.554912,0.26308,19.651,17.65,17.064,16.825,M  ,dM 1.5  ,4,1,Simbad
sp,65766,296.268188,-14.559031,0.245952,20.383,18.014,17.403,17.212,M  ,dM      ,4,1,Simbad
sp,66012,296.350433,-14.561425,0.265766,19.76,16.954,16.372,16.114,M  ,dM3.5   ,5,1,Simbad
sp,66239,296.299713,-14.563828,0.246788,21.034,18.07,17.517,17.256,M  ,dM      ,5,1,Simbad
sp,66625,296.294617,-14.567719,0.241823,21.074,18.624,17.757,17.118,C  ,--      ,4,1,Simbad
sp,66989,296.281769,-14.571457,0.235599,19.706,17.124,16.523,16.283,M  ,dM3     ,5,1,Simbad
sp,67256,296.269318,-14.574274,0.230949,21.22,18.24,17.591,17.344,M  ,dM      ,5,1,Simbad
sp,67591,296.249817,-14.577723,0.225895,20.474,17.969,17.339,17.188,M  ,dM3.5   ,5,1,Simbad
sp,67835,296.250244,-14.58028,0.223358,20.659,18.098,17.509,17.201,M  ,dM      ,5,1,Simbad
sp,68214,296.329102,-14.584,0.236609,19.231,17.611,16.957,16.665,M  ,MIII e v,4,1,Simbad
sp,69259,296.265533,-14.59479,0.210125,20.017,17.966,17.111,16.84,M  ,M0III   ,5,1,Simbad
sp,69502,296.300781,-14.597308,0.21473,19.963,17.733,17.042,16.821,M  ,dM3     ,4,1,Simbad
sp,69952,296.285156,-14.601586,0.206705,18.981,16.715,16.035,15.832,M  ,dM3     ,5,1,Simbad
sp,70257,296.321686,-14.604838,0.214512,18.477,16.639,15.948,15.801,M  ,dM1.5   ,5,1,Simbad
sp,71083,296.313812,-14.613031,0.203993,19.722,17.51,16.655,16.449,M  ,M1III   ,5,1,Simbad
sp,71579,296.301788,-14.617753,0.195502,21.206,17.604,17.005,16.654,M  ,dM      ,5,1,Simbad
sp,71937,296.275482,-14.621393,0.18535,20.537,17.978,17.284,17.082,M  ,dM      ,4,1,Simbad
sp,72546,296.263794,-14.627904,0.177053,21.046,17.956,17.317,17.003,M  ,dM      ,4,1,Simbad
sp,72871,296.250305,-14.631506,0.172198,19.227,17.544,16.861,16.712,M  ,dM0     ,5,1,Simbad
