Mid,Id-main,Ra(J2000) deg,Dec(J2000) deg,J,eJ,H,eH,Ks,eKs,Types
280,,296.18,-14.86,17.34,,16.38,,15.82,,C  
281,,296.19,-14.86,17.55,,16.55,,16.18,,C  
282,,296.18,-14.87,17.48,,16.40,,15.79,,C  
283,,296.17,-14.88,17.22,,16.16,,15.56,,C  
284,,296.21,-14.93,17.00,,15.86,,15.15,,C  
285,,296.35,-14.83,17.22,,16.34,,15.90,,C  
286,,296.35,-14.86,17.32,,16.48,,16.02,,C  
287,,296.37,-14.89,15.56,,14.71,,14.32,,C  
288,,296.34,-14.90,17.23,,16.41,,16.02,,C  
289,,296.28,-14.93,18.32,,17.40,,17.12,,C  
290,,296.29,-14.71,17.54,,16.57,,16.34,,C  
291,,296.30,-14.78,17.48,,16.53,,15.73,,C  
292,,296.13,-14.68,17.35,,16.32,,15.77,,C  
293,,296.12,-14.68,17.36,,16.40,,16.03,,C  
294,,296.17,-14.70,17.37,,16.44,,16.09,,C  
295,,296.20,-14.70,17.12,,15.99,,15.38,,C  
296,,296.19,-14.72,17.67,,16.72,,16.49,,C  
297,,296.20,-14.72,17.61,,16.48,,15.80,,C  
298,,296.10,-14.72,17.45,,16.55,,16.07,,C  
299,,296.15,-14.73,16.87,,16.00,,15.49,,C  
300,,296.16,-14.73,17.52,,16.57,,15.92,,C  
301,,296.18,-14.74,17.07,,16.05,,15.35,,C  
302,,296.18,-14.74,17.42,,16.49,,15.87,,C  
303,,296.21,-14.75,17.01,,15.99,,15.38,,C  
304,,296.18,-14.75,16.66,,15.73,,15.23,,C  
305,,296.20,-14.76,17.97,,17.16,,16.60,,C  
306,,296.18,-14.76,17.18,,16.28,,15.94,,C  
307,,296.20,-14.77,17.30,,16.41,,15.71,,C  
308,,296.19,-14.82,17.30,,16.41,,15.90,,C  
309,,296.16,-14.83,17.11,,15.99,,15.21,,C  
310,,296.17,-14.84,17.35,,16.23,,15.51,,C  
311,,296.16,-14.86,17.11,,16.21,,15.63,,C  
312,,296.17,-14.87,17.11,,16.15,,15.63,,C  
313,,296.18,-14.88,18.07,,17.08,,16.72,,C  
314,,296.16,-14.88,17.63,,16.43,,15.76,,C  
315,,296.20,-14.88,17.87,,16.78,,16.20,,C  
316,,296.20,-14.89,16.69,,15.62,,15.01,,C  
317,,296.09,-14.91,17.90,,16.86,,16.32,,C  
318,,296.17,-14.92,16.53,,15.67,,15.26,,C  
319,,296.21,-14.57,17.45,,16.39,,15.66,,C  
320,,296.04,-14.61,18.16,,17.09,,16.65,,C  
321,,296.00,-14.64,17.82,,16.90,,16.46,,C  
322,,296.02,-14.80,17.36,,16.29,,15.71,,C  
323,,296.46,-14.81,17.14,,16.23,,15.57,,C  
324,,296.51,-14.58,17.76,,16.79,,16.31,,C  
325,,296.52,-14.61,18.27,,17.23,,16.80,,C  
326,,296.49,-14.64,17.50,,16.56,,15.97,,C  
327,,296.29,-14.57,18.62,,17.76,,17.12,,C  
328,,296.33,-14.64,16.65,,15.70,,15.11,,C  
329,,296.26,-14.71,17.07,,16.05,,15.57,,C  
330,,296.26,-14.72,17.41,,16.44,,16.04,,C  
331,,296.31,-14.73,17.54,,16.72,,15.97,,C  
332,,296.32,-14.74,17.17,,16.38,,15.97,,C  
333,,296.28,-14.74,18.10,,17.25,,16.87,,C  
334,,296.34,-14.75,18.04,,16.88,,16.33,,C  
335,,296.28,-14.75,17.53,,16.64,,16.03,,C  
336,,296.25,-14.76,17.91,,16.98,,16.43,,C  
337,,296.25,-14.76,17.11,,15.99,,15.23,,C  
338,,296.33,-14.77,17.11,,16.08,,15.38,,C  
339,,296.26,-14.77,17.35,,16.48,,16.07,,C  
340,,296.30,-14.78,17.10,,16.16,,15.67,,C  
341,,296.31,-14.78,16.95,,16.06,,15.61,,C  
342,,296.36,-14.75,17.25,,16.33,,15.89,,C  
343,,296.48,-14.97,16.88,,15.94,,15.39,,C  
344,,296.47,-14.89,17.67,,16.74,,16.47,,C  
345,,296.25,-14.80,17.63,,16.62,,16.06,,C  
346,,296.30,-14.80,16.82,,15.76,,14.95,,C  
347,,296.26,-14.81,17.42,,16.33,,15.55,,C  
348,,296.24,-14.81,16.87,,15.96,,15.48,,C  
349,,296.24,-14.81,17.32,,16.19,,15.35,,C  
350,,296.26,-14.82,17.43,,16.34,,15.72,,C  
351,,296.26,-14.82,17.41,,16.47,,16.01,,C  
352,,296.26,-14.82,18.37,,17.31,,17.06,,C  
353,,296.26,-14.84,18.01,,17.11,,16.69,,C  
354,,296.26,-14.84,17.40,,16.27,,15.60,,C  
355,,296.24,-14.85,17.72,,16.68,,16.01,,C  
356,,296.26,-14.85,17.05,,16.05,,15.44,,C  
357,,296.34,-14.85,16.92,,16.08,,15.69,,C  
358,,296.28,-14.85,17.35,,16.27,,15.61,,C  
359,,296.28,-14.86,16.68,,15.69,,15.12,,C  
360,,296.26,-14.86,18.09,,17.20,,16.65,,C  
361,,296.28,-14.86,18.47,,17.40,,17.18,,C  
362,,296.31,-14.87,17.33,,16.57,,16.13,,C  
363,,296.29,-14.88,17.40,,16.54,,15.99,,C  
364,,296.26,-14.88,16.35,,15.40,,14.91,,C  
365,,296.29,-14.88,16.91,,15.83,,15.16,,C  
366,,296.27,-14.91,17.84,,16.58,,15.70,,C  
367,,296.29,-14.96,17.45,,16.30,,15.63,,C  
368,,296.31,-14.97,17.36,,16.35,,15.70,,C  
369,,296.33,-14.99,17.32,,16.24,,15.53,,C  
370,,296.33,-15.00,17.49,,16.61,,16.12,,C  
371,,296.25,-15.02,18.44,,17.14,,15.84,,C  
372,,296.22,-14.99,17.63,,16.69,,16.22,,C  
373,,296.22,-14.80,17.31,,16.48,,15.99,,C  
374,,296.17,-14.84,18.08,,16.86,,15.93,,C  
375,,296.22,-14.84,17.93,,17.00,,16.50,,C  
376,,296.20,-14.85,17.31,,16.26,,15.57,,C  
377,,296.19,-14.85,18.17,,17.22,,16.94,,C  
378,,296.23,-14.88,17.54,,16.46,,15.86,,C  
379,,296.23,-14.88,17.37,,16.37,,15.91,,C  
380,,295.98,-14.80,18.25,,17.41,,17.05,,C  
381,,296.00,-14.97,18.39,,17.56,,17.21,,C  
382,,297.18,-14.45,18.53,,18.26,,17.29,,C  
383,,297.11,-14.49,18.19,,17.38,,16.66,,C  
384,,297.01,-14.35,18.20,,17.55,,16.94,,C  
385,,295.69,-15.16,17.74,,16.79,,16.43,,C
